state,rainfall,elevation,population_density,coastal_distance,historical_index,risk_level
Karnataka,41.24,49.73,74.48,42.37,27.08,high
Gujarat,51.9,22.19,85.21,0.0,36.87,critical
Jharkhand,91.56,58.08,16.22,92.07,43.72,medium
Andhra Pradesh,50.9,21.01,36.51,0.0,52.77,high
Odisha,41.87,38.69,24.47,32.39,69.48,medium
UP,27.47,7.0,64.89,80.41,59.73,high
Tamil Nadu,43.83,37.86,71.46,0.0,0.0,high
West Bengal,28.9,16.08,68.43,5.69,42.47,high
MP,74.34,31.93,38.07,70.39,21.74,high
Telangana,58.36,0.0,37.66,87.73,27.33,high
Odisha,34.02,5.36,71.63,29.51,38.02,high
Karnataka,50.36,60.18,89.67,0.0,65.95,high
Odisha,29.05,8.86,84.46,25.91,87.39,high
Karnataka,63.45,39.74,45.69,18.01,47.16,high
Bihar,57.29,0.0,60.61,97.14,86.95,high
West Bengal,42.04,7.04,77.16,22.1,59.02,high
Rajasthan,67.54,42.37,70.14,98.29,84.3,high
UP,59.39,25.86,59.88,100.0,17.22,high
Kerala,62.4,38.92,65.1,0.0,14.62,high
Odisha,44.48,0.0,48.65,0.34,35.75,high
Tamil Nadu,31.42,36.06,64.63,0.0,23.19,high
Bihar,30.19,5.37,63.32,100.0,14.34,medium
Andhra Pradesh,54.13,2.47,87.86,21.04,69.78,critical
Tamil Nadu,32.27,20.34,64.56,29.36,40.26,high
Bihar,55.7,0.0,80.79,98.63,22.58,high
Rajasthan,37.94,1.74,66.37,70.75,61.84,high
Bihar,65.7,0.0,74.64,100.0,29.06,high
Telangana,71.93,22.65,76.12,95.88,63.16,high
Kerala,12.24,36.78,85.01,6.05,34.97,high
Odisha,33.83,17.83,70.94,15.01,58.66,high
Tamil Nadu,71.33,31.54,28.0,28.37,25.37,high
Assam,27.65,23.74,91.5,84.69,26.14,high
Bihar,21.75,11.62,91.86,75.31,26.0,high
UP,82.62,49.1,67.94,95.79,12.54,high
Maharashtra,76.97,26.41,89.19,15.76,100.0,critical
Bihar,57.34,21.39,47.86,68.58,62.06,high
UP,10.42,11.35,71.54,95.13,46.81,medium
Andhra Pradesh,63.54,13.21,80.54,26.91,41.45,critical
Odisha,60.35,0.0,68.46,17.71,27.9,critical
Telangana,58.84,43.86,66.03,92.45,76.65,high
Gujarat,66.24,44.68,51.66,0.0,66.42,high
UP,19.1,22.73,100.0,96.42,78.39,high
Andhra Pradesh,60.81,22.64,41.95,0.0,54.13,high
Maharashtra,33.6,16.3,55.9,0.0,64.89,high
Rajasthan,43.2,41.33,66.29,70.45,32.12,medium
Jharkhand,71.99,53.16,61.98,72.51,17.72,high
Odisha,89.09,22.43,65.3,18.84,76.2,critical
Telangana,39.29,51.89,56.32,60.35,35.54,medium
Andhra Pradesh,67.62,32.99,40.99,0.0,38.13,high
Andhra Pradesh,38.67,22.76,76.56,48.69,55.67,high
Jharkhand,21.83,62.66,50.39,54.4,44.07,medium
Rajasthan,100.0,35.49,77.0,82.38,0.0,high
